datescrap,marketplace,cat1_id,cat2_id,cat3_id,cat1,cat2,cat3
2023-05-31,Tokopedia,984,3698,3803,Rumah Tangga,Travel,Luggage Tag
2023-05-31,Tokopedia,984,991,3734,Rumah Tangga,Tempat Penyimpanan,Kotak Baterai
2023-05-31,Tokopedia,984,987,3759,Rumah Tangga,Laundry,Alat Pelipat Baju
2023-05-31,Tokopedia,984,1654,1659,Rumah Tangga,Taman,Hiasan Taman
2023-05-31,Tokopedia,984,3697,3789,Rumah Tangga,Kebutuhan Rumah,Baterai
2023-05-31,Tokopedia,984,3696,3725,Rumah Tangga,Ruang Tamu & Keluarga,Bean Bag
2023-05-31,Tokopedia,984,3696,3724,Rumah Tangga,Ruang Tamu & Keluarga,Cover Sofa
2023-05-31,Tokopedia,983,911,976,Dapur,Peralatan Makan & Minum,Tutup Gelas & Piring
2023-05-31,Tokopedia,60,989,3971,Elektronik,Lampu,Lampu Hias
2023-05-31,Tokopedia,60,989,575,Elektronik,Lampu,Lampu Meja
2023-05-31,Tokopedia,60,3884,4000,Elektronik,Printer,Tinta Printer
2023-05-31,Tokopedia,60,3884,4004,Elektronik,Printer,Toner Printer
2023-05-31,Tokopedia,984,3698,3805,Rumah Tangga,Travel,Passport Cover
2023-05-31,Tokopedia,984,3698,4343,Rumah Tangga,Travel,Penutup Mata Tidur
2023-05-31,Tokopedia,984,991,1370,Rumah Tangga,Tempat Penyimpanan,Kotak Jam
2023-05-31,Tokopedia,984,991,3731,Rumah Tangga,Tempat Penyimpanan,Kotak Karton
2023-05-31,Tokopedia,984,987,3761,Rumah Tangga,Laundry,Bola Pencuci Baju
2023-05-31,Tokopedia,984,987,3758,Rumah Tangga,Laundry,Cover Mesin Cuci
2023-05-31,Tokopedia,984,1654,1752,Rumah Tangga,Taman,Irigasi
2023-05-31,Tokopedia,984,1654,3748,Rumah Tangga,Taman,Kursi Pantai
2023-05-31,Tokopedia,984,3697,3790,Rumah Tangga,Kebutuhan Rumah,Baterai Jam
2023-05-31,Tokopedia,984,3697,3791,Rumah Tangga,Kebutuhan Rumah,Humidifier
2023-05-31,Tokopedia,984,3696,3729,Rumah Tangga,Ruang Tamu & Keluarga,Gorden
2023-05-31,Tokopedia,984,3696,3728,Rumah Tangga,Ruang Tamu & Keluarga,Karpet & Tikar
2023-05-31,Tokopedia,984,988,1020,Rumah Tangga,Kebersihan,Alat Pel
2023-05-31,Tokopedia,984,988,4359,Rumah Tangga,Kebersihan,Asbak
2023-05-31,Tokopedia,60,989,1029,Elektronik,Lampu,Lampu Proyektor
2023-05-31,Tokopedia,60,989,3970,Elektronik,Lampu,Lampu Tidur
2023-05-31,Tokopedia,983,3439,3478,Dapur,Aksesoris Dapur,Tatakan Gas
2023-05-31,Tokopedia,983,3439,3472,Dapur,Aksesoris Dapur,Termometer Makanan & Minuman
2023-05-31,Tokopedia,984,3698,3799,Rumah Tangga,Travel,Travel Bag
2023-05-31,Tokopedia,984,3698,3806,Rumah Tangga,Travel,Travel Organizer
2023-05-31,Tokopedia,984,991,3736,Rumah Tangga,Tempat Penyimpanan,Kotak Surat
2023-05-31,Tokopedia,984,991,1044,Rumah Tangga,Tempat Penyimpanan,Laci
